SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
4.5,0.33,33.8,29,13,1.96,11.35,1.999,0.118,1.881,3.17,0,81.57
3.6,0.28,33.8,30,11,1.47,9.94,0,0,0,2.34,0,78.11
2.9,0.21,26.1,17,9,1.7,7.34,2.072,0.206,1.866,0,0,84.4
3.8,0.28,24.4,21,11,1.52,9.7,1.771,0.141,1.63,0,0,75.49
3,0.17,23,21,8,1.57,6.76,0,0,0,0,0,81.02
2.7,0.21,20.3,18,11,2.8,8.61,1.978,0.159,1.819,0,0,79.46
3,0.16,23.5,24,9,1.8,6.92,0,0,0,0,0,76.76
3.8,0.29,25.8,22,11,1.46,9.91,1.749,0.142,1.607,0,0,71.31
2.5,0.22,22.8,28,10,2.07,8.14,0,0,0,0,0,79.82
4.2,0.36,23.6,26,14,1.78,12.03,1.766,0.161,1.605,0,0,73.65
3.1,0.28,25.1,23,12,2.07,9.64,2.123,0.312,1.811,0,0,83.86
3.3,0.29,29.5,21,13,2.2,10.94,2.112,0.26,1.852,0,0,84.52
3.8,0.38,25.3,25,16,2.15,13.86,1.797,0.184,1.613,0,0,75.53
2.5,0.23,27.5,27,10,1.72,8.44,0,0,0,0,0,81.76
3.9,0.58,30.5,39,23,3.11,20,1.907,0.237,1.67,0,0,77.15
3,0.39,38,41,13,1.14,11.44,0,0,0,0,0,81.81
4.1,0.46,38.6,37,19,2.17,16.71,2.168,0.201,1.967,0,0,84.8
3.9,0.37,39.8,37,17,2.2,14.5,1.797,0.138,1.659,0,0,78.6
3.4,0.36,38.1,45,14,1.92,12.42,0,0,0,0,0,75.99
3.7,0.49,34.4,44,20,2.38,17.22,1.803,0.2,1.603,0,0,70.01
3.5,0.39,30.6,41,14,2.26,11.74,0,0,0,0,0,79.52
2.8,0.53,29.5,42,21,4.09,16.65,1.812,0.182,1.63,0,0,74.58
3.7,0.41,36.1,34,17,3.38,13.3,1.712,0.096,1.615,0,0,84.51
3.8,0.43,27.1,41,15,2.69,12.25,0,0,0,0,0,78.02
4.6,0.44,30.5,32,19,3.76,15.45,1.842,0.114,1.728,0,0,81.74
3.3,0.62,23.3,42,29,7.23,21.46,1.9,0.233,1.667,0,0,72.61
3.6,0.64,19.8,33,29,6.78,22.24,1.948,0.264,1.684,0,0,73.16
3.7,0.42,23.4,33,17,4.62,12.58,0,0,0,0,0,77.64
4.5,0.44,22.5,27,23,4.56,18.06,2.093,0.157,1.935,0,0,79.73
4.3,0.67,25.5,41,30,6.69,23.23,2.043,0.306,1.737,0,0,72.82
3.3,0.43,26.8,44,18,4.68,13.18,0,0,0,0,0,78.29
5,0.48,26.8,35,24,4.47,19.28,2.14,0.19,1.95,0,0,79.03
3.7,0.32,40.8,38,13,3.03,9.63,0,0,0,0,0,72.25
4,0.47,40.3,37,21,2.3,18.35,1.937,0.204,1.734,0,0,64.48
4.7,0.35,42.1,30,17,2.27,14.74,1.999,0.098,1.901,0,0,72.83
4.6,0.4,39.6,36,18,1.63,16.54,1.856,0.185,1.672,0,0,66.54
4.3,0.32,44,30,14,1.7,12.68,2.038,0.125,1.912,0,0,75.53
3.4,0.26,37.2,37,12,2.04,9.48,0,0,0,0,0,74.07
2.5,0.18,26.6,29,8,1.26,7.04,0,0,0,0,0,80.2
2.9,0.25,30.5,24,10,1.77,8.6,2.114,0.169,1.944,0,0,83.07
3.3,0.32,27.2,29,13,1.81,11.36,1.848,0.168,1.68,0,0,74.74
2.9,0.19,24,15,9,1.73,7.46,1.966,0.13,1.836,0,0,78.9
2.6,0.12,21.1,23,8,1.83,6.49,0,0,0,0,0,76.38
3.9,0.24,22.3,21,11,1.65,9.11,1.758,0.134,1.624,0,0,71
3.2,0.3,25.6,20,13,1.66,11.01,1.803,0.15,1.653,0,0,76.19
3,0.24,29,15,10,1.58,8.13,1.943,0.133,1.81,0,0,84.71
2.6,0.17,27.8,21,8,1.59,6.2,0,0,0,0,0,80.4
4.3,0.39,31.5,28,16,1.54,14.33,1.847,0.183,1.664,0,0,71.68
4.1,0.33,35,24,14,1.89,12.43,2.048,0.179,1.869,0,0,80.16
