SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.3,0.44,0,32,26,16.19,2.5,13.69,0,0,0,1.97,15.56,66.18
3,0.45,0,31.9,29,19.82,3.08,16.73,0,0,0,4.07,16.76,69.58
3.2,0.58,0,20.9,29,31.75,8.98,22.76,0,0,0,1.77,17.09,62.71
2.9,0.44,0,26,29,22.52,5.94,16.58,0,0,0,3.46,16.88,70.06
3.1,0.69,434.33,20.2,34,33.81,8.96,24.85,0,0,0,1.91,0,67.47
3.1,0.42,0,28.8,26,19.2,3.17,16.02,0,0,0,4.6,16.39,70.56
2.3,0.41,0,26.8,19,14.47,2.33,12.13,0,0,0,2.11,15.49,71.57
3.2,0.65,429.56,28.3,41,29.85,6.12,23.73,0,0,0,1.76,23.13,68.08
2.4,0.41,0,34.5,29,14.6,2.29,12.3,0,0,0,1.95,21.46,73.78
3,0.57,0,27,33,28.93,6.18,22.75,0,0,0,1.65,23.09,65.68
2.7,0.41,0,32.8,32,18.61,2.63,15.98,0,0,0,3.73,22.42,74.83
2.6,0.44,0,29.9,32,22.16,4.71,17.46,0,0,0,2.64,22.48,74.61
3.2,0.54,428.05,39.1,36,23.31,2.87,20.44,0,0,0,2.01,24.73,63.02
3.3,0.49,0,39,31,22.68,3.01,19.67,0,0,0,1.92,26.36,59.3
2.8,0.38,0,40.3,30,18.31,3.03,15.29,0,0,0,3.06,24.67,67.88
2.4,0.35,0,45.3,26,10.33,1.46,8.86,0,0,0,2.2,24.26,65.3
2.8,0.35,0,43.2,32,16.72,1.88,14.82,0,0,0,4.27,24.86,69.56
3.7,0.31,0,27.6,24,15.15,2,13.14,0,0,0,2.46,29.56,75.49
3.4,0.31,0,27.6,20,16.7,2.87,13.83,0,0,0,1.99,28.61,74.66
3.3,0.41,427.24,32.5,32,15.4,2.27,13.12,0,0,0,1.82,29.37,68.71
3.8,0.37,0,33.9,23,11.89,1.9,9.99,0,0,0,2.08,27.88,76.07
3.6,0.41,0,31.2,23,17.79,2.51,15.28,0,0,0,1.64,30.98,65.8
3.1,0.32,0,26.4,14,14.38,2.55,11.83,0,0,0,1.77,30.02,67.03
3,0.31,0,27.7,14,9.39,1.92,7.47,0,0,0,2.61,27.86,76.46
2.7,0.29,418.03,28.1,21,12.66,2.68,9.97,0,0,0,1.99,28.84,69.12
3.1,0.23,0,23.3,14,13.95,2.98,10.97,0,0,0,2.25,28.53,74.65
3.4,0.23,0,24.7,16,12.46,2.09,10.36,0,0,0,2.67,30.98,75.38
3,0.32,0,29.9,19,9.31,1.75,7.55,0,0,0,2.64,29.48,74.32
2.9,0.32,430.65,30.7,21,12.39,2.2,10.2,0,0,0,2.02,29.56,67.02
3.2,0.3,0,27.8,19,14.21,2.3,11.91,0,0,0,1.97,31.17,67.39
3.2,0.21,0,25.6,17,13.3,2.61,10.7,0,0,0,2.66,29.5,72.01
3.7,0.22,0,24.3,20,12.16,2.04,10.11,0,0,0,3.03,32.05,74.31
2.7,0.37,0,24,15,16.34,3.06,13.28,0,0,0,1.79,29.66,71.67
2.8,0.25,0,22.8,14,15.21,3.24,11.97,0,0,0,2.54,28.06,76.85
3.3,0.38,0,26.9,16,9.59,2.04,7.54,0,0,0,2.68,28.18,78.01
2.3,0.35,418.45,25.2,14,14.05,2.89,11.15,0,0,0,1.84,28.42,70.44
3,0.27,0,23.5,18,13.82,2.17,11.65,0,0,0,3.1,30.14,78.32
2.6,0.51,0,21.4,16,23.03,5.15,17.88,0,0,0,1.41,26.5,76.21
2.8,0.35,0,20.4,17,22.83,5.93,16.9,0,0,0,2.02,25.99,81.01
2.7,0.51,434.72,20.4,15,21.39,4.81,16.57,0,0,0,1.49,25.64,73.98
3.1,0.35,0,26.8,24,16.66,2.37,14.28,0,0,0,2.6,27.03,81.91
2.9,0.39,0,26.1,13,11.91,2.38,9.53,0,0,0,2.35,25.61,78.78
3.9,0.57,435.85,33.1,32,23.89,2.81,21.08,0,0,0,1.64,24.89,67.02
