SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.5,0.39,40.1,28,16.3,1.29,15.03,2.099,0.128,1.97,2.11,25.43,70.51
7.9,0.39,31.1,23,23.97,3.95,20.03,2.062,0.154,1.91,1.92,25.5,72.65
5.3,0.56,34.3,24,23.32,3.98,19.34,2.151,0.211,1.94,1.14,25.86,71.05
4.9,0.44,34.4,26,20.07,2.71,17.36,2.077,0.137,1.94,1.62,25.39,68.72
4.1,0.4,39.7,24,15.49,1.85,13.63,2.023,0.126,1.9,2.13,25.34,70.16
3.2,0.4,35.4,29,17.71,3.45,14.26,2.056,0.158,1.9,2.02,25.3,68.05
1.7,0.31,35.3,24,9.15,1.5,7.64,0,0,0,1.23,24.82,72.08
2.9,0.37,31.5,29,15.4,2.34,13.05,0,0,0,2.36,24.06,68.61
4.2,0.4,36.3,23,18.76,2.99,15.76,2.087,0.143,1.95,1.9,25.08,70.11
4.6,0.36,31.4,23,18.15,2.96,15.19,2.254,0.163,2.09,1.9,24.86,74.65
3.7,0.28,37.7,21,12.31,1.83,10.49,2.064,0.08,1.98,2.3,25.71,72.33
4.5,0.53,30.2,26,20.85,3.24,17.61,2.165,0.191,1.97,1.64,25.96,68.23
4.2,0.53,40.7,37,20.26,2.1,18.15,2.135,0.169,1.97,2.4,22.81,69.3
4.2,0.52,41.1,40,19.97,2.01,18.01,2.228,0.176,2.05,2.42,22.91,70.4
3.6,0.49,36.2,43,22.58,3.51,19.07,2.127,0.2,1.93,2.19,22.54,67.89
5,0.6,34.8,43,26,3.14,22.86,2.228,0.193,2.04,1.76,23.07,67.59
4.8,0.41,39.1,29,18.3,2.17,16.13,2.157,0.12,2.04,2.5,23.69,70.93
2.2,0.42,41,36,12.46,1.53,10.93,0,0,0,1.3,22.8,70.5
4.7,0.64,29.7,37,25.77,3.48,22.29,2.286,0.241,2.05,1.65,23.48,67.47
7,0.54,33.8,41,31.23,4.33,26.9,2.184,0.212,1.97,2,23.27,70.68
5,0.48,32.8,33,22.99,2.98,20.01,2.32,0.2,2.12,2.02,22.63,72.55
5,0.73,35.3,38,28.65,4.16,24.49,2.294,0.276,2.02,1.24,23.98,69.72
3.7,0.49,31.9,46,21.1,2.89,18.2,0,0,0,2.48,21.52,67.98
4.5,0.51,36,40,25.01,3.52,21.49,2.164,0.201,1.96,2.12,22.48,69.95
3.8,0.56,31.4,40,23.33,2.84,20.47,2.167,0.193,1.97,2.47,20.22,68.24
4.6,0.65,26.6,42,29.53,4.24,25.29,2.268,0.221,2.05,1.82,20.61,65.66
4.6,0.8,26.6,42,33.03,6.07,26.96,2.339,0.32,2.02,1.22,20.93,68.28
6.3,0.6,27.2,44,34.5,6.04,28.46,2.217,0.237,1.98,1.95,21.16,68.54
3.8,0.53,31.6,43,23.89,2.59,21.31,2.235,0.18,2.06,2.37,21.52,69.51
3.2,0.48,28.3,47,23.29,4.01,19.28,2.096,0.169,1.93,2.24,19.75,67.28
