SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.4,0.6,432.26,19.4,19,35.79,12.48,23.31,2.081,0.193,1.89,1.48,16.05,79.86
1.5,0.26,412.34,40.6,7,2.96,0.73,2.19,0,0,0,0,10.19,97.9
3.1,0.73,0,17.2,20,41.17,14.35,26.82,0,0,0,1.76,17.16,79.16
2.8,0.82,0,16.2,22,46.6,18.85,27.75,2.22,0.275,1.95,1.8,16.94,83.81
3.9,1.49,0,0,20,86.23,53.88,32.35,2.615,0.496,2.12,0,0,0
2.9,0.4,0,31.4,16,15.82,3.07,12.74,0,0,0,2.32,19.29,71.51
3.3,0.57,0,21.6,20,31.4,7.77,23.63,0,0,0,2.47,19.85,74.61
4.1,1.25,0,0,17,70.27,40.28,29.99,2.444,0.399,2.05,0,0,0
2.9,0.51,0,23.7,15,25.36,6.31,19.04,2.052,0.135,1.92,2.45,18.72,81.01
1.7,0.26,413.18,42,9,3.5,0.53,2.89,0,0,0,0,12.35,97.23
2.9,0.49,424.75,23.2,18,26.95,6.89,20.06,1.98,0.141,1.84,1.8,18.56,76.12
3.2,0.68,0,19.9,19,36.44,11.7,24.74,2.124,0.203,1.92,2.18,19.58,77.93
3.1,0.53,0,25.1,18,28.56,6.42,22.14,0,0,0,2.55,24.47,74.31
3.3,0.65,0,22.7,16,32.7,9.24,23.47,2.105,0.195,1.91,2.22,24.15,76.07
1.9,0.23,407.6,43.6,8,3.74,0.75,2.93,0,0,0,0,17.43,96.51
2.8,0.37,0,34.1,16,14.06,2.8,11.26,0,0,0,2.42,23.88,71.55
2.8,0.47,427.85,25.6,14,23.62,5.62,18.01,1.955,0.14,1.82,1.87,23.1,75.69
2.6,0.5,0,24.5,9,23.68,5.26,18.42,2.069,0.129,1.94,2.47,23.36,80.47
3.9,1.2,0,0,15,62.55,34.16,28.39,2.42,0.383,2.04,0,0,0
3.1,0.58,0,28.1,17,29.3,7.28,22.01,2.045,0.165,1.88,2.37,25.82,75.04
2.3,0.43,0,30.4,13,19.77,3.96,15.81,2.019,0.097,1.92,2.66,25.12,79.45
2.8,0.4,410.91,33.4,17,20.66,4.06,16.6,1.891,0.116,1.78,1.95,24.97,74.04
3.5,1.11,0,0,16,54.64,27.83,26.81,2.323,0.341,1.98,0,0,0
2.2,0.29,0,41.6,17,10.93,1.81,9.11,0,0,0,2.68,25.51,71.15
1.6,0.19,399.14,48.2,11,3.15,0.79,2.32,0,0,0,0,19.04,97.59
