SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.8,0.56,31.4,40,23.33,2.84,20.47,2.167,0.193,1.97,2.47,20.22,68.24
4.6,0.8,26.6,42,33.03,6.07,26.96,2.339,0.32,2.02,1.22,20.93,68.28
4.4,0.64,23.8,40,28.69,4.31,24.38,2.308,0.268,2.04,1.58,20.94,66.14
4.8,0.51,27.7,35,26.1,3.6,22.49,2.293,0.209,2.09,2.03,20.33,70.16
3.8,0.53,31.6,43,23.89,2.59,21.31,2.235,0.18,2.06,2.37,21.52,69.51
4.1,0.52,27.9,43,29.16,4.88,24.29,2.234,0.222,2.01,2.19,19.85,68.67
3.2,0.48,28.3,47,23.29,4.01,19.28,2.096,0.169,1.93,2.24,19.75,67.28
6.3,0.6,27.2,44,34.5,6.04,28.46,2.217,0.237,1.98,1.95,21.16,68.54
4.6,0.65,26.6,42,29.53,4.24,25.29,2.268,0.221,2.05,1.82,20.61,65.66
3.8,0.58,32.3,42,23.68,2.87,20.81,2.175,0.186,1.99,2.42,20.83,71.84
5.5,0.68,23.6,43,31.79,5,26.79,2.34,0.287,2.05,1.47,21.57,69.84
4.7,0.86,27.1,45,34.97,6.31,28.66,2.349,0.341,2.01,1.17,21.42,71.35
4.3,0.53,27.9,41,29.13,5.72,23.41,2.318,0.239,2.08,2.04,20.47,72.4
6.2,0.63,26,48,37.96,6.86,31.09,2.247,0.262,1.99,1.81,21.56,71.4
6.5,0.47,34.7,23,26,3.17,22.83,2.258,0.149,2.11,2.24,21.93,73.7
4.7,0.71,27.5,45,31.21,4.55,26.67,2.303,0.235,2.07,1.79,21.2,69.11
3.1,0.51,28.1,44,24.73,4.3,20.43,2.156,0.167,1.99,2.11,20.36,71.12
5.3,0.55,28.1,38,28.18,3.98,24.19,2.301,0.217,2.08,1.94,20.94,73.52
3.7,0.56,31.3,45,24.5,2.67,21.84,2.271,0.183,2.09,2.24,21.49,73.5
5.7,0.57,27.2,42,29.83,4.62,25.21,2.392,0.265,2.13,1.86,22.08,75.25
4.8,0.73,27.4,39,34.9,5.61,29.3,2.347,0.266,2.08,1.72,22.54,70.03
4.6,0.91,26.6,43,38.74,7.74,31,2.416,0.395,2.02,1.16,22.45,72.42
5.1,0.52,26.5,42,29.15,7.22,21.93,2.34,0.279,2.06,1.99,21.81,73.77
3.8,0.6,32.1,46,25.35,3.02,22.32,2.224,0.227,2,2.27,22.26,72.81
6.1,0.66,24.6,47,42.28,8.98,33.31,2.321,0.305,2.02,1.77,22.92,72.27
7.3,0.49,32.9,33,27.87,3.84,24.03,2.309,0.178,2.13,2.18,23.1,74.69
4.9,0.68,23.8,42,33.2,5.94,27.26,2.365,0.328,2.04,1.45,22.73,71.6
3.3,0.51,25.4,39,27.54,4.58,22.95,2.192,0.19,2,2.03,21.66,72.42
4,0.57,30.4,49,25.53,2.82,22.72,2.336,0.222,2.11,2.16,21.11,74.47
5.1,0.65,32.5,32,29.93,4.44,25.49,2.296,0.242,2.05,1.6,25.53,70.61
5.4,0.83,30.9,36,35.82,6.19,29.63,2.378,0.348,2.03,1.18,27.08,72.65
7.5,0.56,28.6,36,36.38,6.21,30.18,2.254,0.263,1.99,1.76,25.79,73.42
5.5,0.62,32.3,38,27.21,3.94,23.27,2.275,0.275,2,1.56,25.68,72.23
